Model,Predicted Second,Physics Loss Scalar,Epoch,Batch,Learning Rate,Experiment,Mean Deviation
PECNN,4,1,50,32,0.001,Experimentindex 0,27.0481163945282
PECNN,4,1,50,32,0.001,Experimentindex 1,55.422728656214545
PECNN,4,1,50,32,0.001,Experimentindex 2,182.7732704581587
PECNN,4,1,50,32,0.001,Experimentindex 3,100.97558936812314
PECNN,4,1,50,32,0.001,Experimentindex 4,108.21087464651937
PECNN,4,1,50,32,0.001,Experimentindex 5,56.19115726228803
PECNN,4,1,50,32,0.001,Experimentindex 6,96.99499057307568
PECNN,4,1,50,32,0.001,Experimentindex 7,100.50538797728194
PECNN,4,1,50,32,0.001,Experimentindex 8,111.95038366768331
PECNN,4,1,50,32,0.001,Experimentindex 9,121.48830543151155
PECNN,4,0,50,32,0.001,Experimentindex 0,22.678016598953995
PECNN,4,0,50,32,0.001,Experimentindex 1,52.98023011342629
PECNN,4,0,50,32,0.001,Experimentindex 2,192.80103598212634
PECNN,4,0,50,32,0.001,Experimentindex 3,99.95937024217626
PECNN,4,0,50,32,0.001,Experimentindex 4,106.17594705327265
PECNN,4,0,50,32,0.001,Experimentindex 5,55.84309813440967
PECNN,4,0,50,32,0.001,Experimentindex 6,97.53010958925776
PECNN,4,0,50,32,0.001,Experimentindex 7,105.40267932959831
PECNN,4,0,50,32,0.001,Experimentindex 8,116.14220412479357
PECNN,4,0,50,32,0.001,Experimentindex 9,125.78806091198766
PECNN,3,0,50,32,0.001,Experimentindex 0,126.42544873106617
PECNN,3,0,50,32,0.001,Experimentindex 1,141.79796824737193
PECNN,3,0,50,32,0.001,Experimentindex 2,213.15102707445587
PECNN,3,0,50,32,0.001,Experimentindex 3,162.822309117805
PECNN,3,0,50,32,0.001,Experimentindex 4,165.39904192149953
PECNN,3,0,50,32,0.001,Experimentindex 5,143.5348841061327
PECNN,3,0,50,32,0.001,Experimentindex 6,161.0372462057231
PECNN,3,0,50,32,0.001,Experimentindex 7,168.56614247400748
PECNN,3,0,50,32,0.001,Experimentindex 8,172.93065712798085
PECNN,3,0,50,32,0.001,Experimentindex 9,175.43490255783254
PECNN,3,1,50,32,0.001,Experimentindex 0,32.34462664454403
PECNN,3,1,50,32,0.001,Experimentindex 1,56.4201457248158
PECNN,3,1,50,32,0.001,Experimentindex 2,170.78342261520012
PECNN,3,1,50,32,0.001,Experimentindex 3,94.1051585683225
PECNN,3,1,50,32,0.001,Experimentindex 4,105.5327383262261
PECNN,3,1,50,32,0.001,Experimentindex 5,58.925693731933364
PECNN,3,1,50,32,0.001,Experimentindex 6,93.58760783722818
PECNN,3,1,50,32,0.001,Experimentindex 7,98.55675305666911
PECNN,3,1,50,32,0.001,Experimentindex 8,107.34506880799086
PECNN,3,1,50,32,0.001,Experimentindex 9,118.28027353133511
